ACCESSION,EXPERIMENT,DESIGN,LENGTH,INSTRUMENT,BIOSAMPLE,TAXID,GENOME_ACCESSION,SPECIES,ASSEMBLY
ERR2103720,ERX2161006,PAIRED,150,Illumina MiSeq,SAMEA104225631,83332,GCA_000831245.1,Mycobacterium tuberculosis H37Rv,Complete Genome
ERR2103721,ERX2161007,PAIRED,150,Illumina MiSeq,SAMEA104225632,83332,GCA_000831245.1,Mycobacterium tuberculosis H37Rv,Complete Genome
ERR2103722,ERX2161008,PAIRED,150,Illumina MiSeq,SAMEA104225633,83332,GCA_000831245.1,Mycobacterium tuberculosis H37Rv,Complete Genome
ERR2103723,ERX2161009,PAIRED,150,Illumina MiSeq,SAMEA104225634,83332,GCA_000831245.1,Mycobacterium tuberculosis H37Rv,Complete Genome
ERR2116781,ERX2173639,SINGLE,-,Illumina HiSeq 2000,SAMEA104288047,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR2116782,ERX2173640,SINGLE,-,Illumina HiSeq 2000,SAMEA104288048,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR2116783,ERX2173641,SINGLE,-,Illumina HiSeq 2000,SAMEA104288049,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR2116784,ERX2173642,SINGLE,-,Illumina HiSeq 2000,SAMEA104288050,90371,GCA_900184385.1,Salmonella enterica subsp. enterica serovar Typhimurium,Complete Genome
ERR2137696,ERX2194245,PAIRED,-,Illumina HiSeq 2000,SAMEA104318000,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137697,ERX2194246,PAIRED,-,Illumina HiSeq 2000,SAMEA104318001,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137698,ERX2194247,PAIRED,-,Illumina HiSeq 2000,SAMEA104318002,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137699,ERX2194248,PAIRED,-,Illumina HiSeq 2000,SAMEA104318003,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137700,ERX2194249,PAIRED,-,Illumina HiSeq 2000,SAMEA104318004,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137701,ERX2194250,PAIRED,-,Illumina HiSeq 2000,SAMEA104318005,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137702,ERX2194251,PAIRED,-,Illumina HiSeq 2000,SAMEA104318006,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137703,ERX2194252,PAIRED,-,Illumina HiSeq 2000,SAMEA104318007,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137704,ERX2194253,PAIRED,-,Illumina HiSeq 2000,SAMEA104318008,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137705,ERX2194254,PAIRED,-,Illumina HiSeq 2000,SAMEA104318009,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137706,ERX2194255,PAIRED,-,Illumina HiSeq 2000,SAMEA104318010,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137707,ERX2194256,PAIRED,-,Illumina HiSeq 2000,SAMEA104318011,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137708,ERX2194257,PAIRED,-,Illumina HiSeq 2000,SAMEA104318012,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137709,ERX2194258,PAIRED,-,Illumina HiSeq 2000,SAMEA104318013,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137710,ERX2194259,PAIRED,-,Illumina HiSeq 2000,SAMEA104318014,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137711,ERX2194260,PAIRED,-,Illumina HiSeq 2000,SAMEA104318015,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137712,ERX2194261,PAIRED,-,Illumina HiSeq 2000,SAMEA104318016,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137713,ERX2194262,PAIRED,-,Illumina HiSeq 2000,SAMEA104318017,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137714,ERX2194263,PAIRED,-,Illumina HiSeq 2000,SAMEA104318018,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137715,ERX2194264,PAIRED,-,Illumina HiSeq 2000,SAMEA104318019,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137716,ERX2194265,PAIRED,-,Illumina HiSeq 2000,SAMEA104318020,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137717,ERX2194266,PAIRED,-,Illumina HiSeq 2000,SAMEA104318021,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137718,ERX2194267,PAIRED,-,Illumina HiSeq 2000,SAMEA104318022,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137719,ERX2194268,PAIRED,-,Illumina HiSeq 2000,SAMEA104318023,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137720,ERX2194269,PAIRED,-,Illumina HiSeq 2000,SAMEA104318024,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137721,ERX2194270,PAIRED,-,Illumina HiSeq 2000,SAMEA104318025,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137722,ERX2194271,PAIRED,-,Illumina HiSeq 2000,SAMEA104318026,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137723,ERX2194272,PAIRED,-,Illumina HiSeq 2000,SAMEA104318027,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137724,ERX2194273,PAIRED,-,Illumina HiSeq 2000,SAMEA104318028,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137725,ERX2194274,PAIRED,-,Illumina HiSeq 2000,SAMEA104318029,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137726,ERX2194275,PAIRED,-,Illumina HiSeq 2000,SAMEA104318030,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137727,ERX2194276,PAIRED,-,Illumina HiSeq 2000,SAMEA104318031,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137728,ERX2194277,PAIRED,-,Illumina HiSeq 2000,SAMEA104318032,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137729,ERX2194278,PAIRED,-,Illumina HiSeq 2000,SAMEA104318033,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137730,ERX2194279,PAIRED,-,Illumina HiSeq 2000,SAMEA104318034,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137731,ERX2194280,PAIRED,-,Illumina HiSeq 2000,SAMEA104318035,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137732,ERX2194281,PAIRED,-,Illumina HiSeq 2000,SAMEA104318036,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137733,ERX2194282,PAIRED,-,Illumina HiSeq 2000,SAMEA104318037,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137734,ERX2194283,PAIRED,-,Illumina HiSeq 2000,SAMEA104318038,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137735,ERX2194284,PAIRED,-,Illumina HiSeq 2000,SAMEA104318039,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137736,ERX2194285,PAIRED,-,Illumina HiSeq 2000,SAMEA104318040,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137737,ERX2194286,PAIRED,-,Illumina HiSeq 2000,SAMEA104318041,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137738,ERX2194287,PAIRED,-,Illumina HiSeq 2000,SAMEA104318042,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137739,ERX2194288,PAIRED,-,Illumina HiSeq 2000,SAMEA104318043,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137740,ERX2194289,PAIRED,-,Illumina HiSeq 2000,SAMEA104318044,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137741,ERX2194290,PAIRED,-,Illumina HiSeq 2000,SAMEA104318045,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137742,ERX2194291,PAIRED,-,Illumina HiSeq 2000,SAMEA104318046,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137743,ERX2194292,PAIRED,-,Illumina HiSeq 2000,SAMEA104318047,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137744,ERX2194293,PAIRED,-,Illumina HiSeq 2000,SAMEA104318048,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137745,ERX2194294,PAIRED,-,Illumina HiSeq 2000,SAMEA104318049,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137746,ERX2194295,PAIRED,-,Illumina HiSeq 2000,SAMEA104318050,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137747,ERX2194296,PAIRED,-,Illumina HiSeq 2000,SAMEA104318051,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137748,ERX2194297,PAIRED,-,Illumina HiSeq 2000,SAMEA104318052,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137749,ERX2194298,PAIRED,-,Illumina HiSeq 2000,SAMEA104318053,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137750,ERX2194299,PAIRED,-,Illumina HiSeq 2000,SAMEA104318054,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137751,ERX2194300,PAIRED,-,Illumina HiSeq 2000,SAMEA104318055,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137752,ERX2194301,PAIRED,-,Illumina HiSeq 2000,SAMEA104318056,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137753,ERX2194302,PAIRED,-,Illumina HiSeq 2000,SAMEA104318057,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137754,ERX2194303,PAIRED,-,Illumina HiSeq 2000,SAMEA104318058,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137755,ERX2194304,PAIRED,-,Illumina HiSeq 2000,SAMEA104318059,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137756,ERX2194305,PAIRED,-,Illumina HiSeq 2000,SAMEA104318060,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137757,ERX2194306,PAIRED,-,Illumina HiSeq 2000,SAMEA104318061,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137758,ERX2194307,PAIRED,-,Illumina HiSeq 2000,SAMEA104318062,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137759,ERX2194308,PAIRED,-,Illumina HiSeq 2000,SAMEA104318063,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137760,ERX2194309,PAIRED,-,Illumina HiSeq 2000,SAMEA104318064,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137761,ERX2194310,PAIRED,-,Illumina HiSeq 2000,SAMEA104318065,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137762,ERX2194311,PAIRED,-,Illumina HiSeq 2000,SAMEA104318066,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137763,ERX2194312,PAIRED,-,Illumina HiSeq 2000,SAMEA104318067,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137764,ERX2194313,PAIRED,-,Illumina HiSeq 2000,SAMEA104318068,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137765,ERX2194314,PAIRED,-,Illumina HiSeq 2000,SAMEA104318069,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137766,ERX2194315,PAIRED,-,Illumina HiSeq 2000,SAMEA104318070,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137767,ERX2194316,PAIRED,-,Illumina HiSeq 2000,SAMEA104318071,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137768,ERX2194317,PAIRED,-,Illumina HiSeq 2000,SAMEA104318072,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137769,ERX2194318,PAIRED,-,Illumina HiSeq 2000,SAMEA104318073,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137770,ERX2194319,PAIRED,-,Illumina HiSeq 2000,SAMEA104318074,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137771,ERX2194320,PAIRED,-,Illumina HiSeq 2000,SAMEA104318075,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137772,ERX2194321,PAIRED,-,Illumina HiSeq 2000,SAMEA104318076,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137773,ERX2194322,PAIRED,-,Illumina HiSeq 2000,SAMEA104318077,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137774,ERX2194323,PAIRED,-,Illumina HiSeq 2000,SAMEA104318078,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137775,ERX2194324,PAIRED,-,Illumina HiSeq 2000,SAMEA104318079,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137776,ERX2194325,PAIRED,-,Illumina HiSeq 2000,SAMEA104318080,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137777,ERX2194326,PAIRED,-,Illumina HiSeq 2000,SAMEA104318081,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137778,ERX2194327,PAIRED,-,Illumina HiSeq 2000,SAMEA104318082,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137779,ERX2194328,PAIRED,-,Illumina HiSeq 2000,SAMEA104318083,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137780,ERX2194329,PAIRED,-,Illumina HiSeq 2000,SAMEA104318084,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137781,ERX2194330,PAIRED,-,Illumina HiSeq 2000,SAMEA104318085,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137782,ERX2194331,PAIRED,-,Illumina HiSeq 2000,SAMEA104318086,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137783,ERX2194332,PAIRED,-,Illumina HiSeq 2000,SAMEA104318087,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137784,ERX2194333,PAIRED,-,Illumina HiSeq 2000,SAMEA104318088,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137785,ERX2194334,PAIRED,-,Illumina HiSeq 2000,SAMEA104318089,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137786,ERX2194335,PAIRED,-,Illumina HiSeq 2000,SAMEA104318090,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137787,ERX2194336,PAIRED,-,Illumina HiSeq 2000,SAMEA104318091,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137788,ERX2194337,PAIRED,-,Illumina HiSeq 2000,SAMEA104318092,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137789,ERX2194338,PAIRED,-,Illumina HiSeq 2000,SAMEA104318093,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137790,ERX2194339,PAIRED,-,Illumina HiSeq 2000,SAMEA104318094,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137791,ERX2194340,PAIRED,-,Illumina HiSeq 2000,SAMEA104318095,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137792,ERX2194341,PAIRED,-,Illumina HiSeq 2000,SAMEA104318096,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137793,ERX2194342,PAIRED,-,Illumina HiSeq 2000,SAMEA104318097,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137794,ERX2194343,PAIRED,-,Illumina HiSeq 2000,SAMEA104318098,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137795,ERX2194344,PAIRED,-,Illumina HiSeq 2000,SAMEA104318099,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137796,ERX2194345,PAIRED,-,Illumina HiSeq 2000,SAMEA104318100,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137797,ERX2194346,PAIRED,-,Illumina HiSeq 2000,SAMEA104318101,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137798,ERX2194347,PAIRED,-,Illumina HiSeq 2000,SAMEA104318102,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137799,ERX2194348,PAIRED,-,Illumina HiSeq 2000,SAMEA104318103,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137800,ERX2194349,PAIRED,-,Illumina HiSeq 2000,SAMEA104318104,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137801,ERX2194350,PAIRED,-,Illumina HiSeq 2000,SAMEA104318105,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137802,ERX2194351,PAIRED,-,Illumina HiSeq 2000,SAMEA104318106,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137803,ERX2194352,PAIRED,-,Illumina HiSeq 2000,SAMEA104318107,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137804,ERX2194353,PAIRED,-,Illumina HiSeq 2000,SAMEA104318108,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137805,ERX2194354,PAIRED,-,Illumina HiSeq 2000,SAMEA104318109,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137806,ERX2194355,PAIRED,-,Illumina HiSeq 2000,SAMEA104318110,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137807,ERX2194356,PAIRED,-,Illumina HiSeq 2000,SAMEA104318111,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137808,ERX2194357,PAIRED,-,Illumina HiSeq 2000,SAMEA104318112,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137809,ERX2194358,PAIRED,-,Illumina HiSeq 2000,SAMEA104318113,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137810,ERX2194359,PAIRED,-,Illumina HiSeq 2000,SAMEA104318114,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137811,ERX2194360,PAIRED,-,Illumina HiSeq 2000,SAMEA104318115,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137812,ERX2194361,PAIRED,-,Illumina HiSeq 2000,SAMEA104318116,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137813,ERX2194362,PAIRED,-,Illumina HiSeq 2000,SAMEA104318117,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137814,ERX2194363,PAIRED,-,Illumina HiSeq 2000,SAMEA104318118,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137815,ERX2194364,PAIRED,-,Illumina HiSeq 2000,SAMEA104318119,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137816,ERX2194365,PAIRED,-,Illumina HiSeq 2000,SAMEA104318120,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137817,ERX2194366,PAIRED,-,Illumina HiSeq 2000,SAMEA104318121,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137818,ERX2194367,PAIRED,-,Illumina HiSeq 2000,SAMEA104318122,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137819,ERX2194368,PAIRED,-,Illumina HiSeq 2000,SAMEA104318123,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137820,ERX2194369,PAIRED,-,Illumina HiSeq 2000,SAMEA104318124,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137821,ERX2194370,PAIRED,-,Illumina HiSeq 2000,SAMEA104318125,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137822,ERX2194371,PAIRED,-,Illumina HiSeq 2000,SAMEA104318126,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137823,ERX2194372,PAIRED,-,Illumina HiSeq 2000,SAMEA104318127,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137824,ERX2194373,PAIRED,-,Illumina HiSeq 2000,SAMEA104318128,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137825,ERX2194374,PAIRED,-,Illumina HiSeq 2000,SAMEA104318129,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137826,ERX2194375,PAIRED,-,Illumina HiSeq 2000,SAMEA104318130,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137827,ERX2194376,PAIRED,-,Illumina HiSeq 2000,SAMEA104318131,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137828,ERX2194377,PAIRED,-,Illumina HiSeq 2000,SAMEA104318132,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137829,ERX2194378,PAIRED,-,Illumina HiSeq 2000,SAMEA104318133,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137830,ERX2194379,PAIRED,-,Illumina HiSeq 2000,SAMEA104318134,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137831,ERX2194380,PAIRED,-,Illumina HiSeq 2000,SAMEA104318135,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137832,ERX2194381,PAIRED,-,Illumina HiSeq 2000,SAMEA104318136,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137833,ERX2194382,PAIRED,-,Illumina HiSeq 2000,SAMEA104318137,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
ERR2137834,ERX2194383,PAIRED,-,Illumina HiSeq 2000,SAMEA104318138,74547,GCA_000011485.1,Prochlorococcus marinus str. MIT 9313,Complete Genome
